"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testDoubleCheckAccess","thrpt",1,3,4538.469407,268.381407,"ops/ms",100
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testDoubleCheckAccess","thrpt",1,3,54.704311,2.589975,"ops/ms",10000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testDoubleCheckAccess","thrpt",1,3,0.545363,0.013327,"ops/ms",1000000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testEagerSingletonAccess","thrpt",1,3,9924.318222,576.122577,"ops/ms",100
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testEagerSingletonAccess","thrpt",1,3,97.840109,6.776692,"ops/ms",10000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testEagerSingletonAccess","thrpt",1,3,0.978318,0.038313,"ops/ms",1000000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testEnumInstanceAccess","thrpt",1,3,9931.498701,832.146765,"ops/ms",100
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testEnumInstanceAccess","thrpt",1,3,98.045752,1.449896,"ops/ms",10000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testEnumInstanceAccess","thrpt",1,3,0.956825,0.055166,"ops/ms",1000000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testLazySingletonAccess","thrpt",1,3,6339.542283,1248.400247,"ops/ms",100
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testLazySingletonAccess","thrpt",1,3,65.191986,4.191930,"ops/ms",10000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testLazySingletonAccess","thrpt",1,3,0.631236,0.049275,"ops/ms",1000000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testThreadSafeAccess","thrpt",1,3,2258.404797,1005.217316,"ops/ms",100
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testThreadSafeAccess","thrpt",1,3,34.492436,2.940951,"ops/ms",10000
"jmh.coding_design_principles.design.creational.singleton.SingletonBenchmark.testThreadSafeAccess","thrpt",1,3,0.345014,0.015396,"ops/ms",1000000
